"AgeStart","AgeEnd","Ri","Di","Ni","Mi"
0,4,0,0,661649939.5,5053070
5,9,0,0,690136592.5,733720
10,14,2188,426,674123087,468365
15,19,4262,1310,634444908,696310
20,24,10724,3894,609947663.5,894702
25,29,19438,7744,597584169,964659
30,34,31714,13484,608192652.5,1082725
35,39,52878,19112,569056333.5,1260599
40,44,93124,30184,508803381,1536468
45,49,161428,55096,471092610,1919324
50,54,282104,95818,453154962.5,2688863
55,59,380124,132854,407081934,3660925
60,64,472222,171856,323122813.5,4531445
65,69,588400,230742,280083101,5798508
70,74,574050,256080,208645474.5,6483861
75,79,461598,250238,132692925.5,6414334
80,84,364666,246754,86528330,6815074
85,999,352736,291694,68445733.5,10958179
