"AgeStart","AgeEnd","Ri","Di","Ni","Mi"
0,4,0,0,661649939.5,5053070
5,9,0,0,690136592.5,733720
10,14,338,106,674123087,468365
15,19,1124,474,634444908,696310
20,24,3846,1730,609947663.5,894702
25,29,8300,3508,597584169,964659
30,34,13196,5760,608192652.5,1082725
35,39,21204,8326,569056333.5,1260599
40,44,38818,12530,508803381,1536468
45,49,68168,22924,471092610,1919324
50,54,122470,40968,453154962.5,2688863
55,59,159796,55982,407081934,3660925
60,64,193138,71380,323122813.5,4531445
65,69,235666,95412,280083101,5798508
70,74,214516,100658,208645474.5,6483861
75,79,160550,91838,132692925.5,6414334
80,84,117362,85058,86528330,6815074
85,999,100824,90776,68445733.5,10958179
