"ISOcode","AgeStart","AgeEnd","Ri","Di","Ni","Mi"
4,0,4,0,0,6262390.5,82333
4,5,9,0,0,5487694,6667
4,10,14,10,0,4978537,4821
4,15,19,26,17,4461340.5,9606
4,20,24,37,23,3760628,14310
4,25,29,38,25,2978129.5,11973
4,30,34,55,34,2257658,9325
4,35,39,54,35,1781754.5,8222
4,40,44,74,43,1493048.5,8393
4,45,49,93,55,1207970,8975
4,50,54,114,76,939972,9685
4,55,59,133,88,713488.5,10690
4,60,64,144,92,533714,12005
4,65,69,137,85,380974.5,13272
4,70,74,117,76,275289.5,15301
4,75,79,78,53,156394.5,13942
4,80,84,37,26,72297.5,10317
4,85,999,16,11,28217.5,6724
8,0,4,0,0,150467,292
8,5,9,0,0,162111.5,15
8,10,14,0,0,168847.5,20
8,15,19,0,0,202065.5,40
8,20,24,1,0,231327.5,65
8,25,29,4,0,237097.5,82
8,30,34,6,0,196992,92
8,35,39,9,0,169912,106
8,40,44,16,2,161557,138
8,45,49,22,6,174928.5,258
8,50,54,35,12,190549.5,519
8,55,59,63,22,204554,1019
8,60,64,77,35,182317,1652
8,65,69,74,46,144393.5,2236
8,70,74,68,49,111047,2954
8,75,79,58,48,90489,4189
8,80,84,50,40,58949,4553
8,85,999,39,32,36278.5,6182
12,0,4,0,0,4922012,23228
12,5,9,0,0,4468744,1650
12,10,14,3,0,3622676.5,1212
12,15,19,13,23,2929658.5,1482
12,20,24,39,42,3052729,1988
12,25,29,65,22,3493493.5,2341
12,30,34,116,16,3672284.5,2990
12,35,39,241,53,3499502,4300
12,40,44,399,133,2949387.5,5246
12,45,49,542,226,2496963,6110
12,50,54,740,335,2103416.5,7532
12,55,59,972,434,1668415.5,8837
12,60,64,1072,501,1325671,12268
12,65,69,1092,574,1014080,15808
12,70,74,894,561,629281,18250
12,75,79,649,509,427314,21781
12,80,84,492,471,271314.5,24301
12,85,999,418,480,158425.5,28302
24,0,4,0,0,5712179.5,93413
24,5,9,0,0,4904969,8577
24,10,14,26,0,4079659,5123
24,15,19,9,0,3297663,6141
24,20,24,16,10,2759096.5,7401
24,25,29,22,12,2416565,7869
24,30,34,70,45,2081006,8308
24,35,39,75,34,1695596.5,8645
24,40,44,75,38,1353768,8860
24,45,49,62,51,1082978.5,9234
24,50,54,98,69,896188.5,10485
24,55,59,94,60,714541.5,11465
24,60,64,90,53,525949.5,12496
24,65,69,87,65,354510.5,12640
24,70,74,30,19,230842.5,12897
24,75,79,25,29,143063,12369
24,80,84,11,14,73415,9703
24,85,999,15,13,31596.5,6908
31,0,4,0,0,797745,3032
31,5,9,0,0,913553.5,218
31,10,14,1,1,786890.5,253
31,15,19,4,0,653138.5,413
31,20,24,5,2,750195.5,753
31,25,29,8,3,915381.5,1008
31,30,34,15,6,934202.5,1281
31,35,39,41,16,806597,1489
31,40,44,68,31,665818,1731
31,45,49,125,59,625955.5,2335
31,50,54,203,119,647836.5,3710
31,55,59,253,120,629464.5,5785
31,60,64,335,160,467344,6832
31,65,69,275,138,278263,6312
31,70,74,169,101,141579.5,5823
31,75,79,92,62,95083.5,6978
31,80,84,83,64,83876.5,9661
31,85,999,64,52,39828,8255
32,0,4,0,0,3539430,7623
32,5,9,0,0,3650252.5,472
32,10,14,0,1,3522191,557
32,15,19,16,4,3477146.5,1288
32,20,24,119,11,3511087,2049
32,25,29,48,57,3484733.5,2531
32,30,34,60,36,3281324.5,2891
32,35,39,166,64,3190806.5,3917
32,40,44,404,143,3036421,5858
32,45,49,731,256,2600145.5,8181
32,50,54,1084,396,2268193,11662
32,55,59,1535,621,2090510.5,16352
32,60,64,1960,875,1902530.5,23049
32,65,69,2255,1115,1640462.5,31698
32,70,74,2331,1303,1331680,42502
32,75,79,2044,1342,957006.5,46391
32,80,84,1539,1182,633819,46143
32,85,999,1571,1394,627780,86874
36,0,4,0,0,1568711,1087
36,5,9,0,0,1614330,116
36,10,14,69,0,1553285.5,142
36,15,19,66,0,1493456.5,476
36,20,24,88,2,1744187.5,888
36,25,29,150,13,1910822,1024
36,30,34,234,29,1898185,1142
36,35,39,359,35,1783918.5,1501
36,40,44,476,54,1603335,2021
36,45,49,687,93,1676567,3210
36,50,54,949,158,1539995.5,4018
36,55,59,1300,247,1541599,6262
36,60,64,1754,360,1388888,8625
36,65,69,2082,475,1225297,11280
36,70,74,2409,626,1057444,15713
36,75,79,2317,911,734887.5,18906
36,80,84,1862,1035,506147,23827
36,85,999,2286,1677,516114,66736
40,0,4,0,0,435518,318
40,5,9,0,0,422776.5,31
40,10,14,3,0,422640.5,41
40,15,19,4,0,438432.5,116
40,20,24,6,0,524263.5,184
40,25,29,12,0,602563,239
40,30,34,29,3,605419.5,320
40,35,39,52,5,605157.5,396
40,40,44,89,13,565547,566
40,45,49,146,26,632516.5,1091
40,50,54,271,63,713500.5,1866
40,55,59,426,117,676179,3017
40,60,64,531,160,554443,4092
40,65,69,576,216,448211.5,5517
40,70,74,627,314,389531,7462
40,75,79,603,375,385056.5,11433
40,80,84,644,489,232150,12064
